Well,Fuel,Plasmid construct,DNA/mRNA batch,DNA (nM),mRNA (uM),Mg (mM),Fuel (mM),Replicate,Extract,Extract fraction,NTPs (mM),Added ATP (mM),Added GTP (mM),Tetratcycline (ug/mL)
E13,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,30,3,AR_ZJ,0.33,4.8,0,0,0
E14,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,30,1,AR_ZJ,0.33,4.8,0,0,0
E15,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,30,2,AR_ZJ,0.33,4.8,0,0,0
E16,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,30,3,AR_ZJ,0.33,4.8,0,0,0
E17,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,30,1,AR_ZJ,0.33,4.8,0,0,0
E18,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,30,2,AR_ZJ,0.33,4.8,0,0,0
E19,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,30,3,AR_ZJ,0.33,4.8,0,0,0
E20,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,30,1,AR_ZJ,0.33,4.8,0,0,0
E21,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,30,2,AR_ZJ,0.33,4.8,0,0,0
E22,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,30,3,AR_ZJ,0.33,4.8,0,0,0
E23,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,30,1,AR_ZJ,0.33,4.8,0,0,0
F2,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,30,2,AR_ZJ,0.33,4.8,0,0,0
F3,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,30,3,AR_ZJ,0.33,4.8,0,0,0
F4,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,45,1,AR_ZJ,0.33,4.8,0,0,0
F5,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,45,2,AR_ZJ,0.33,4.8,0,0,0
F6,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,0,45,3,AR_ZJ,0.33,4.8,0,0,0
F7,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,45,1,AR_ZJ,0.33,4.8,0,0,0
F8,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,45,2,AR_ZJ,0.33,4.8,0,0,0
F9,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,2,45,3,AR_ZJ,0.33,4.8,0,0,0
F10,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,45,1,AR_ZJ,0.33,4.8,0,0,0
F11,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,45,2,AR_ZJ,0.33,4.8,0,0,0
F12,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,4,45,3,AR_ZJ,0.33,4.8,0,0,0
F13,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,45,1,AR_ZJ,0.33,4.8,0,0,0
F14,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,45,2,AR_ZJ,0.33,4.8,0,0,0
F15,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,6,45,3,AR_ZJ,0.33,4.8,0,0,0
F16,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,45,1,AR_ZJ,0.33,4.8,0,0,0
F17,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,45,2,AR_ZJ,0.33,4.8,0,0,0
F18,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,8,45,3,AR_ZJ,0.33,4.8,0,0,0
F19,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,45,1,AR_ZJ,0.33,4.8,0,0,0
F20,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,45,2,AR_ZJ,0.33,4.8,0,0,0
F21,Succinate,pOR1OR2-MGapt-deGFP,1,1,0,10,45,3,AR_ZJ,0.33,4.8,0,0,0
