Well,Fuel,Plasmid construct,DNA/mRNA batch,DNA (nM),mRNA (uM),Mg (mM),Fuel (mM),Replicate,Extract,Extract fraction,NTPs (mM),Added ATP (mM),Added GTP (mM),Tetratcycline (ug/mL)
E23,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,30,1,AR_ZJ,0.33,4.8,0,0,0
F2,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,30,2,AR_ZJ,0.33,4.8,0,0,0
F3,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,30,3,AR_ZJ,0.33,4.8,0,0,0
F4,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,45,1,AR_ZJ,0.33,4.8,0,0,0
F5,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,45,2,AR_ZJ,0.33,4.8,0,0,0
F6,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,0,45,3,AR_ZJ,0.33,4.8,0,0,0
F7,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,45,1,AR_ZJ,0.33,4.8,0,0,0
F8,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,45,2,AR_ZJ,0.33,4.8,0,0,0
F9,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,2,45,3,AR_ZJ,0.33,4.8,0,0,0
F10,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,45,1,AR_ZJ,0.33,4.8,0,0,0
F11,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,45,2,AR_ZJ,0.33,4.8,0,0,0
F12,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,4,45,3,AR_ZJ,0.33,4.8,0,0,0
F13,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,45,1,AR_ZJ,0.33,4.8,0,0,0
F14,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,45,2,AR_ZJ,0.33,4.8,0,0,0
F15,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,6,45,3,AR_ZJ,0.33,4.8,0,0,0
F16,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,45,1,AR_ZJ,0.33,4.8,0,0,0
F17,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,45,2,AR_ZJ,0.33,4.8,0,0,0
F18,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,8,45,3,AR_ZJ,0.33,4.8,0,0,0
F19,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,45,1,AR_ZJ,0.33,4.8,0,0,0
F20,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,45,2,AR_ZJ,0.33,4.8,0,0,0
F21,3PGA,pOR1OR2-MGapt-deGFP,1,1,0,10,45,3,AR_ZJ,0.33,4.8,0,0,0
